Date,Price
2021-06-13T16:59:56.000Z,1256.1702127659576
2021-06-13T16:59:56.000Z,1137.7777777777778
2021-06-20T16:59:56.000Z,1282.723404255319
2021-06-20T16:59:56.000Z,1213.5849056603774
2021-06-20T16:59:56.000Z,1293.061224489796
2021-06-27T16:59:56.000Z,1350
2021-06-27T16:59:56.000Z,1342.9787234042553
2021-06-27T16:59:56.000Z,1236.923076923077
2021-06-27T16:59:56.000Z,1325
2021-06-27T16:59:56.000Z,1311
2021-07-04T16:59:56.000Z,1350
2021-07-04T16:59:56.000Z,1273.8461538461538
2021-07-04T16:59:56.000Z,1311
2021-07-11T16:59:56.000Z,1378.723404255319
2021-07-11T16:59:56.000Z,1283.076923076923
2021-07-18T16:59:56.000Z,1382.608695652174
2021-07-18T16:59:56.000Z,1264.6153846153848
2021-07-18T16:59:56.000Z,1368
2021-07-26T16:59:56.000Z,1366.9565217391305
2021-07-26T16:59:56.000Z,1376
2021-07-26T16:59:56.000Z,1245.2830188679245
2021-07-26T16:59:56.000Z,1250.7692307692307
2021-07-26T16:59:56.000Z,1352
2021-08-02T16:59:56.000Z,1404.2553191489362
2021-08-02T16:59:56.000Z,1352
2021-08-22T16:59:56.000Z,1446
2021-08-22T16:59:56.000Z,1377.3061224489795
2021-08-29T16:59:56.000Z,1335
2021-08-29T16:59:56.000Z,1236.923076923077
2021-08-29T16:59:56.000Z,1313.2075471698113
2021-08-29T16:59:56.000Z,1459
2021-08-29T16:59:56.000Z,1406
2021-08-29T16:59:56.000Z,1227.169811320755
2021-09-06T16:59:56.000Z,1346.0869565217392
2021-09-06T16:59:56.000Z,1350
2021-09-06T16:59:56.000Z,1144.6153846153848
2021-09-06T16:59:56.000Z,1381.132075471698
2021-09-06T16:59:56.000Z,1531.9245283018868
2021-09-06T16:59:56.000Z,1523
2021-09-06T16:59:56.000Z,1511.04
2021-09-06T16:59:56.000Z,1446
2021-09-06T16:59:56.000Z,1377.3061224489795
2021-09-06T16:59:56.000Z,1265.2075471698113
2021-09-06T16:59:56.000Z,1440
2021-09-14T16:59:56.000Z,1371.4285714285716
2021-09-14T16:59:56.000Z,1411.1999999999998
2021-09-14T16:59:56.000Z,1227.169811320755
2021-09-14T16:59:56.000Z,1432
2021-09-19T16:59:56.000Z,1335
2021-09-19T16:59:56.000Z,1220.377358490566
2021-09-19T16:59:56.000Z,1385.6603773584907
2021-09-26T16:59:56.000Z,1177.3584905660377
2021-09-26T16:59:56.000Z,1320
2021-09-26T16:59:56.000Z,1325.217391304348
2021-10-03T16:59:56.000Z,1343.076923076923
2021-10-10T16:59:56.000Z,1353.6
2021-10-17T16:59:56.000Z,1295
2021-10-17T16:59:56.000Z,1440
2021-10-17T16:59:56.000Z,1361.5384615384617
2021-10-24T16:59:56.000Z,1353.9622641509434
2021-10-24T16:59:56.000Z,1406
2021-10-24T16:59:56.000Z,1350.857142857143
2021-10-31T16:59:56.000Z,1317.4468085106382
2021-11-15T16:59:56.000Z,1385.6603773584907
2021-11-15T16:59:56.000Z,1374.1176470588236
2021-11-15T16:59:56.000Z,1177.3584905660377
2021-11-15T16:59:56.000Z,1416.4705882352941
2021-11-21T16:59:56.000Z,1320
2021-11-21T16:59:56.000Z,1366.1538461538462
